final_energy,mean_energy,max_energy,oscillation_count,oscillation_index,regression_count,c1_alerts,c2_rejections,final_energy_std,mean_energy_std,max_energy_std,oscillation_count_std,oscillation_index_std,regression_count_std,c1_alerts_std,c2_rejections_std,h_rate,lr,drift_freq,drift_label,ablation,n_seeds
778396.6286684999,65844.76781649138,778396.6286684999,20.4,0.033999999999999996,460.8,0.0,0.0,373941.74108526885,31626.725343703416,373941.74108526885,11.525623627379128,0.019209372712298545,21.811923344813042,0.0,0.0,0.0,0.01,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.01,0,stationary,full,10
1.2741496564591067e+26,2.284146335359651e+24,1.2741496564591067e+26,1.0,0.0016666666666666666,585.8,0.0,0.0,5.77809056228256e+25,1.0358284300677087e+24,5.77809056228256e+25,0.0,2.168404344971009e-19,4.4,0.0,0.0,0.0,0.05,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.05,0,stationary,full,10
2.0801375881175882e+50,1.9975924457319698e+48,2.0801375881175882e+50,1.0,0.0016666666666666666,594.9,0.0,0.0,8.607276671558509e+49,8.265718073480792e+47,8.607276671558509e+49,0.0,2.168404344971009e-19,1.7,0.0,0.0,0.0,0.1,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.1,0,stationary,full,10
4.0468966378881086e+95,2.2073981661207865e+93,4.0468966378881086e+95,1.0,0.0016666666666666666,598.3,0.0,0.0,1.429445822104613e+95,7.796977211479705e+92,1.429445822104613e+95,0.0,2.168404344971009e-19,0.7810249675906654,0.0,0.0,0.0,0.2,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.2,0,stationary,full,10
1.8586680387553278e+137,7.587316390088171e+134,1.8586680387553278e+137,1.0,0.0016666666666666666,598.7,0.0,0.0,5.81765997740907e+136,2.3748418748360695e+134,5.81765997740907e+136,0.0,2.168404344971009e-19,0.45825756949558405,0.0,0.0,0.0,0.3,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.3,0,stationary,full,10
5.6331824057398745e+211,1.689954721721963e+209,5.6331824057398745e+211,1.0,0.0016666666666666666,598.9,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.5,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.5,0,stationary,full,10
7.822998227858789e+276,1.993691788228563e+274,7.822998227858789e+276,1.0,0.0016666666666666666,599.0,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,0.0,0.0,0.0,0.0,0.7,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,0.7,0,stationary,full,10
inf,inf,inf,1.0,0.0016666666666666666,510.7,0.0,0.0,,,,0.0,2.168404344971009e-19,0.45825756949558405,0.0,0.0,0.0,1.0,0,stationary,none,10
19628544801.0927,1660271388.8714964,19628544801.0927,1.0,0.0016666666666666666,598.9,0.0,0.0,1079906907.3287537,91343325.52229355,1079906907.3287537,0.0,2.168404344971009e-19,0.30000000000000004,0.0,0.0,0.0,1.0,0,stationary,full,10
427655.6062543096,37953.20710172782,427655.6062543096,22.0,0.03666666666666667,439.5,0.0,0.0,207122.13368054258,18388.503519072798,207122.13368054258,11.392980294900891,0.018988300491501485,24.17540072056718,0.0,0.0,0.05,0.01,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.01,0,stationary,full,10
6.734853730455337e+24,1.2517954388515558e+23,6.734853730455337e+24,1.0,0.0016666666666666666,569.6,0.0,0.0,3.833775118317772e+24,6.909222042726106e+22,3.833775118317772e+24,0.0,2.168404344971009e-19,6.2960304954788775,0.0,0.0,0.05,0.05,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.05,0,stationary,full,10
7.69682741724881e+47,7.599166133596184e+45,7.69682741724881e+47,1.0,0.0016666666666666666,575.0,0.0,0.0,6.08790316288999e+47,5.896020590956598e+45,6.08790316288999e+47,0.0,2.168404344971009e-19,3.63318042491699,0.0,0.0,0.05,0.1,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.1,0,stationary,full,10
1.5226491652300032e+91,8.427259598065539e+88,1.5226491652300032e+91,1.0,0.0016666666666666666,573.7,0.0,0.0,1.8987974720218754e+91,1.0384323684847097e+89,1.8987974720218754e+91,0.0,2.168404344971009e-19,3.579106033634656,0.0,0.0,0.05,0.2,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.2,0,stationary,full,10
1.3079938335174378e+131,5.371450248962057e+128,1.3079938335174378e+131,1.0,0.0016666666666666666,572.7,0.0,0.0,2.090280575347184e+131,8.532412376193917e+128,2.090280575347184e+131,0.0,2.168404344971009e-19,3.6891733491393435,0.0,0.0,0.05,0.3,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.3,0,stationary,full,10
3.7343226574085457e+202,1.1213995158351305e+200,3.7343226574085457e+202,1.0,0.0016666666666666666,571.7,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,3.8742741255621036,0.0,0.0,0.05,0.5,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.5,0,stationary,full,10
1.1774898853156969e+265,3.0014336091085224e+262,1.1774898853156969e+265,1.0,0.0016666666666666666,571.4,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,3.7202150475476548,0.0,0.0,0.05,0.7,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,0.7,0,stationary,full,10
inf,inf,inf,1.0,0.0016666666666666666,512.3,0.0,0.0,,,,0.0,2.168404344971009e-19,1.0049875621120892,0.0,0.0,0.05,1.0,0,stationary,none,10
78315.45055135676,68926.88904418619,78315.45055135676,261.0,0.43499999999999994,74.8,149.0,568.9,68542.39584390358,60331.83128959588,68542.39584390358,16.76305461424021,0.027938424357067018,8.795453370918409,25.459772190654025,10.511422358558331,0.05,1.0,0,stationary,full,10
224639.7730711176,21099.149119492584,224639.88331175278,23.2,0.03866666666666667,413.8,0.0,0.0,111072.2645306,10288.820392631527,111072.29403246315,12.147427711248172,0.020245712852080287,25.93376177880872,0.0,0.0,0.1,0.01,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.01,0,stationary,full,10
2.814028612563823e+23,5.588704135995495e+21,2.814028612563823e+23,1.6,0.002666666666666667,554.2,0.0,0.0,1.7497883738450165e+23,3.6255427758682166e+21,1.7497883738450165e+23,1.8000000000000003,0.0030000000000000005,5.758472019555188,0.0,0.0,0.1,0.05,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.05,0,stationary,full,10
1.4586038142347143e+45,1.6015876405872577e+43,1.4586038142347143e+45,1.0,0.0016666666666666666,554.9,0.0,0.0,1.2683049359458075e+45,1.5129352129068102e+43,1.2683049359458075e+45,0.0,2.168404344971009e-19,3.144837038703278,0.0,0.0,0.1,0.1,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.1,0,stationary,full,10
8.648375837687838e+85,5.85300397845709e+83,8.648375837687838e+85,1.0,0.0016666666666666666,546.9,0.0,0.0,1.2434947864205104e+86,8.932217605335047e+83,1.2434947864205104e+86,0.0,2.168404344971009e-19,3.6999999999999997,0.0,0.0,0.1,0.2,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.2,0,stationary,full,10
3.778510663401999e+123,2.0097613755016222e+121,3.778510663401999e+123,1.0,0.0016666666666666666,542.6,0.0,0.0,6.880283675526206e+123,3.7196727772345015e+121,6.880283675526206e+123,0.0,2.168404344971009e-19,5.180733538795447,0.0,0.0,0.1,0.3,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.3,0,stationary,full,10
9.122499447442412e+190,3.588270667495864e+188,9.122499447442412e+190,1.0,0.0016666666666666666,539.7,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,6.181423784210237,0.0,0.0,0.1,0.5,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.5,0,stationary,full,10
7.7524061726548e+249,2.5204522769415655e+247,7.7524061726548e+249,1.0,0.0016666666666666666,538.2,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,5.4,0.0,0.0,0.1,0.7,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,0.7,0,stationary,full,10
inf,inf,inf,1.0,0.0016666666666666666,513.3,0.0,0.0,,,,0.0,2.168404344971009e-19,1.676305461424021,0.0,0.0,0.1,1.0,0,stationary,none,10
58932.000969217755,53172.02940098016,58932.000969217755,257.1,0.4285,68.7,127.6,571.5,56322.07672988951,51615.09984014206,56322.07672988951,16.108693305169105,0.02684782217528185,7.912648102879339,30.196688560171626,9.276313923105448,0.1,1.0,0,stationary,full,10
76234.51032348734,7832.2450167220695,76234.58636872095,33.6,0.05600000000000001,367.7,0.0,0.0,42401.039242470746,4291.658353993872,42400.94717215884,17.75499929597295,0.02959166549328825,27.19577173017894,0.0,0.0,0.2,0.01,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.01,0,stationary,full,10
1.7916470443978803e+21,3.9426830474231505e+19,1.7916470443983865e+21,1.6,0.0026666666666666666,521.5,0.0,0.0,1.5555624252291062e+21,3.3348934462178005e+19,1.5555624252286797e+21,1.2806248474865698,0.0021343747458109495,9.604686356149273,0.0,0.0,0.2,0.05,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.05,0,stationary,full,10
1.0221691626436633e+41,1.2332398767533338e+39,1.0221691626436633e+41,1.0,0.0016666666666666666,520.9,0.0,0.0,1.3745125619580806e+41,1.7118411376906132e+39,1.3745125619580806e+41,0.0,2.168404344971009e-19,8.154140052758475,0.0,0.0,0.2,0.1,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.1,0,stationary,full,10
1.5782060627169264e+78,1.104813001545801e+76,1.5782060627169264e+78,1.0,0.0016666666666666666,504.8,0.0,0.0,3.4198445187161767e+78,2.4691406279281737e+76,3.4198445187161767e+78,0.0,2.168404344971009e-19,8.170679286326198,0.0,0.0,0.2,0.2,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.2,0,stationary,full,10
3.115382974479199e+112,1.633158382560283e+110,3.115382974479199e+112,1.0,0.0016666666666666666,496.5,0.0,0.0,8.103935272929848e+112,4.318183108712009e+110,8.103935272929848e+112,0.0,2.168404344971009e-19,10.200490184299968,0.0,0.0,0.2,0.3,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.3,0,stationary,full,10
6.680959703268515e+173,2.5286668556895636e+171,6.680959703268515e+173,1.0,0.0016666666666666666,490.2,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,10.524257693538296,0.0,0.0,0.2,0.5,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.5,0,stationary,full,10
2.765266048541821e+227,8.678960023412048e+224,2.765266048541821e+227,1.0,0.0016666666666666666,487.7,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,10.440785411069418,0.0,0.0,0.2,0.7,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,0.7,0,stationary,full,10
1.0460273214947503e+297,2.7632626069235833e+294,1.0460273214947503e+297,1.0,0.0016666666666666666,486.5,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,10.781929326423912,0.0,0.0,0.2,1.0,0,stationary,none,10
19441.38862923599,17110.915680449918,19442.53516409008,265.8,0.44299999999999995,67.8,134.1,577.1,38603.9756160076,35777.88767034308,38603.634642172845,14.309437445266674,0.023849062408777787,6.6,31.274430450449454,7.244998274671982,0.2,1.0,0,stationary,full,10
27575.435941765405,3380.6942521019737,27578.387090189084,38.8,0.06466666666666666,330.9,0.0,0.0,12244.319547306795,1568.860309550274,12249.139826037677,14.654692081377895,0.024424486802296492,24.10995644956664,0.0,0.0,0.3,0.01,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.01,0,stationary,full,10
8.045821619356148e+18,2.2218012340825773e+17,8.045821619481352e+18,1.4,0.0023333333333333335,497.4,0.0,0.0,6.025927874929717e+18,1.7189381700325322e+17,6.025927875102818e+18,0.8,0.0013333333333333333,8.788629017087931,0.0,0.0,0.3,0.05,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.05,0,stationary,full,10
2.3366712142517022e+36,3.4933848315872297e+34,2.3366712142517022e+36,1.0,0.0016666666666666666,498.7,0.0,0.0,3.661410380169574e+36,5.423272228768315e+34,3.661410380169574e+36,0.0,2.168404344971009e-19,6.664082832618455,0.0,0.0,0.3,0.1,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.1,0,stationary,full,10
2.1666106460933635e+69,1.8144650239163192e+67,2.1666106460933635e+69,1.0,0.0016666666666666666,468.5,0.0,0.0,5.26483373685707e+69,4.3598808132536295e+67,5.26483373685707e+69,0.0,2.168404344971009e-19,6.053924347066125,0.0,0.0,0.3,0.2,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.2,0,stationary,full,10
5.217093621017674e+99,3.3249469335008492e+97,5.217093621017674e+99,1.0,0.0016666666666666666,455.5,0.0,0.0,1.3831758230518166e+100,8.759434761110762e+97,1.3831758230518166e+100,0.0,2.168404344971009e-19,6.053924347066125,0.0,0.0,0.3,0.3,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.3,0,stationary,full,10
9.494797135356259e+153,4.645962796123824e+151,9.494797135356259e+153,1.0,0.0016666666666666666,445.9,0.0,0.0,inf,1.2954797017485327e+152,inf,0.0,2.168404344971009e-19,5.629387178015028,0.0,0.0,0.3,0.5,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.5,0,stationary,full,10
2.456417717461729e+201,1.0596559163653031e+199,2.456417717461729e+201,1.0,0.0016666666666666666,441.0,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,5.310367218940701,0.0,0.0,0.3,0.7,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,0.7,0,stationary,full,10
8.337076677983375e+262,3.270762715308796e+260,8.337076677983375e+262,1.0,0.0016666666666666666,437.7,0.0,0.0,inf,inf,inf,0.0,2.168404344971009e-19,5.235456045083369,0.0,0.0,0.3,1.0,0,stationary,none,10
6167.423043688456,4998.554684521245,6167.423043688456,265.5,0.4425,61.2,132.8,580.7,7987.94833507985,6755.633192738664,7987.94833507985,6.037383539249433,0.01006230589874905,9.260669522232181,21.894291493446413,4.561797891182818,0.3,1.0,0,stationary,full,10
10716.117861350513,1409.091662211708,10716.725733642048,45.0,0.075,279.1,0.0,0.0,6834.883648933683,859.1663609143654,6834.404893404622,19.939909728983228,0.03323318288163871,40.227975340551254,0.0,0.0,0.4,0.01,0,stationary,none,10
1852.0219337066894,1326.3537404781584,1852.0219337066894,263.1,0.4385,63.1,132.4,581.7,1855.517109621013,1372.9440422485457,1855.517109621013,11.299999999999999,0.018833333333333334,8.371977066380438,36.557352201711765,5.119570294468081,0.4,0.01,0,stationary,full,10
9.76950973041057e+16,2519226974107275.0,9.769509730871018e+16,1.6,0.002666666666666667,469.5,0.0,0.0,1.358889647827644e+17,3377967434095750.0,1.3588896478045766e+17,1.2806248474865698,0.002134374745810949,16.169415573854238,0.0,0.0,0.4,0.05,0,stationary,none,10
