temperature,max_attempts,audit,pass_rate,safe_pass_rate,mean_oscillation,mean_regression,mean_osc_index,osc_free_rate,mean_attempts,n_episodes
0.3,3,C2,0.3111,0.3111,0.163,0.0,0.1481,0.837,2.5704,135
0.3,3,none,0.2963,0.2963,0.1556,0.0,0.1407,0.8444,2.5926,135
0.3,5,C2,0.3407,0.3407,0.1926,0.0,0.1586,0.8074,3.9185,135
0.3,5,none,0.3704,0.3704,0.2222,0.0,0.1654,0.7778,3.9185,135
0.3,7,C2,0.3407,0.3407,0.1926,0.0,0.1586,0.8074,5.237,135
0.3,7,none,0.4074,0.4074,0.2593,0.0,0.1723,0.7407,5.1556,135
0.7,3,C2,0.3333,0.3333,0.1704,0.0,0.1556,0.8296,2.5333,135
0.7,3,none,0.3185,0.3185,0.1407,0.0,0.1296,0.8593,2.5259,135
0.7,5,C2,0.3481,0.3481,0.1852,0.0,0.1599,0.8148,3.8593,135
0.7,5,none,0.3926,0.3926,0.2296,0.0,0.1747,0.7704,3.8222,135
0.7,7,C2,0.3778,0.3778,0.2148,0.0,0.1665,0.7852,5.1185,135
0.7,7,none,0.437,0.437,0.2741,0.0,0.1835,0.7259,5.0,135
1.0,3,C2,0.3407,0.3407,0.1778,0.0,0.163,0.8222,2.5259,135
1.0,3,none,0.3704,0.3704,0.163,0.0,0.1444,0.837,2.4593,135
1.0,5,C2,0.4175,0.4175,0.2524,0.0,0.2039,0.7476,3.7282,103
1.0,5,none,0.3955,0.3955,0.2313,0.0,0.1791,0.7687,3.8134,134
